Description,Varname,StartPosition,EndPosition,Value
調査年,var1,1,4,2008: ; 
,var2,5,5,: ; 
都道府県番号,var3,6,7,01--47: ; 
事業所一連番号,var4,8,12,10001--16999: ; 17001--17100: ; 50001--50100: ; 57001--57100: ; 
(チェックディジット),var5,13,13,0~9: 検査数字(下1桁); 
,var6,14,14,: ; 
市区町村番号,var7,15,17,101~: センサスの数字; 
基本調査区番号,var8,18,21,0001~: センサスの数字; 
,var9,22,23,: ; 
事業所番号,var10,24,27,0001~: センサスの数字; 
,var11,28,28,: ; 
産業番号,var12,29,31,051--939: ; 
事業所規模番号,var13,32,32,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,var14,33,33,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模番号,var15,34,34,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
,var16,35,37,: ; 
,var17,38,38,: ; 
産業番号,var18,39,41,051--939: ; 
事業所規模番号,var19,42,42,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,var20,43,43,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模番号,var21,44,44,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
事業所,var22,45,48,0001~: 事業所マスターからコピー; 
常用労働者,var23,49,50,01~: 事業所票からコピー; 
臨時労働者,var24,51,52,01~: 事業所票チェックで決め付け; 
,var25,53,53,: ; 
本・支区分,var26,54,54,1: 単独事業所; 2: 本社; 3: 支社; 
民・公区分,var27,55,55,4: 民営事業所; 5: 公営事業所; 
種類,var28,56,56,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
,var29,57,57,: ; 
男,var30,58,62,00000~: (人); 
女,var31,63,67,00000~: (人); 
男,var32,68,72,00000~: (人); 
女,var33,73,77,00000~: (人); 
臨時労働者数,var34,78,82,00000~: (人); 
大,var35,83,83,D: 051~059:鉱業; E: 061~089:建設業; F: 091~329:製造業; G: 331~363:電気・ガス・熱供給・水道業; H: 371~415:情報通信業; I: 421~489:運輸業; J: 491~609:卸売・小売業; K: 611~675:金融・保険業; L: 681~694:不動産業; M: 701~711,713~729:飲食店,宿泊業; N: 731~736,742,749,751,753~759:医療,福祉; O: 761~779:教育,学習支援業; P: 781~792:複合サービス事業; Q: 801~824,829,831,833~939:サービス業(その他); 
中,var36,84,85,05--93: 産業番号上2桁; 
小,var37,86,86,1,: I481のみ; 
企業規模,var38,87,88,T2: 1,000人以上; 53: 100~999人; 76: 10~99人; 88: 5~9人; 
確定・未確定,var39,89,89,1: 確定; 2: 未確定; 
,var40,90,90,: ; 
初任給額,var41,91,94,0000--9999: (百円); 
採用人員,var42,95,98,0000--9999: (人); 
初任給額,var43,99,102,0000--9999: (百円); 
採用人員,var44,103,106,0000--9999: (人); 
初任給額,var45,107,110,0000--9999: (百円); 
採用人員,var46,111,114,0000--9999: (人); 
初任給額,var47,115,118,0000--9999: (百円); 
採用人員,var48,119,122,0000--9999: (人); 
初任給額,var49,123,126,0000--9999: (百円); 
採用人員,var50,127,130,0000--9999: (人); 
初任給額,var51,131,134,0000--9999: (百円); 
採用人員,var52,135,138,0000--9999: (人); 
初任給額,var53,139,142,0000--9999: (百円); 
採用人員,var54,143,146,0000--9999: (人); 
初任給額,var55,147,150,0000--9999: (百円); 
採用人員,var56,151,154,0000--9999: (人); 
初任給額,var57,155,158,0000--9999: (百円); 
採用人員,var58,159,162,0000--9999: (人); 
初任給額,var59,163,166,0000--9999: (百円); 
採用人員,var60,167,170,0000--9999: (人); 
,var61,171,174,: ; 
