Description,Varname,StartPosition,EndPosition,Value
調査年,Chosa_Nen,1,4,2009: 西暦; 
府県ごとの括通し番号,Katsu,5,6,01--99: ; 
都道府県番号,Ken,10,11,01--47: ; 
事業所一連番号,JigyoRen,12,16,10001--17273: ; 18001--18100: ; 50001--50110: ; 58001--58100: ; 
チェックディジット,Digit,17,17,0--9: 検査数字(下1桁); 
○○枚目,Maime,18,19,1--99: ; 
労働者一連番号,RouRen,20,21,01--99: ; 
市区町村番号,Shiku,22,24,101~: センサスの数字; 
基本調査区番号,Kihon,25,28,0001~: センサスの数字; 
事業所番号,Jigyosyo,31,34,0001~: センサスの数字; 
産業分類番号,M_Sangyo,36,38,050--959: ; 
事業所規模,M_JigyoKibo,39,39,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,M_RinjiKibo,40,40,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模,M_Kigyokibo,41,41,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
FILLER,var1,45,45,: ; 
産業分類番号,Sangyo,46,48,050--959: ; 
事業所規模,JigyoKibo,49,49,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,RinjiKibo,50,50,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模,KigyoKibo,51,51,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
事業所,JigyoRitsu,52,55,0001--9999: 事業所マスターからコピー; 
常用労働者,RodoRitsu,56,57,01--99: 事業所票からコピー; 
臨時労働者,RinjiRitsu,58,59,01--99: 事業所票チェックで決め付け; 
復元倍率,Fukugen,60,65,000001--999999: 事業所抽出率×常用労働者抽出率(雇用形態1~4)事業所抽出率×臨時労働者抽出率(雇用形態5); 
本・支区分,Honshi,66,66,1: 単独事業所; 2: 本社; 3: 支社、新設事業所; 
民・公区分,Minko,67,67,4: 民営事業所; 5: 公営事業所; 
種類,Syurui,68,68,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
男,Syain_M,70,74,00000--99999: ; 
女,Syain_W,75,79,00000--99999: ; 
男,Hisyain_M,80,84,00000--99999: ; 
女,Hisyain_W,85,89,00000--99999: ; 
臨時労働者数,Rinji,90,94,00000--99999: ; 
大,SangyoDai,95,95,C: 鉱業,採石業,砂利採取業; D: 建設業; E: 製造業; F: 電気・ガス・熱供給・水道業; G: 情報通信業; H: 運輸業,郵便業; I: 卸売業,小売業; J: 金融業,保険業; K: 不動産業,物品賃貸業; L: 学術研究,専門・技術サービス業; M: 宿泊業,飲食サービス業; N: 生活関連サービス業,娯楽業; O: 教育,学習支援業; P: 医療,福祉; Q: 複合サービス事業; R: サービス業(他に分類されないもの); 
中,SangyoChu,96,97,05--95: 産業番号上2桁; 
小,SangyoSyo,98,98,1: H481のみ; 
性別,Sei,104,104,1: 男; 2: 女; 
雇用形態,Koyo,105,105,1: 正社員・正職員のうち雇用期間の定め無し; 2: 正社員・正職員のうち雇用期間の定め有り; 3: 正社員・正職員以外のうち雇用期間の定め無し; 4: 正社員・正職員以外のうち雇用期間の定め有り; 5: 臨時労働者; 
就業形態,Syugyo,106,106,1: 一般; 2: 短時間; 
最終学歴,Gakureki,107,107,1: 中学卒; 2: 高校卒; 3: 高専・短大卒; 4: 大学・大学院卒; 
年齢,Nenrei,108,109,15--99: ; 
勤続年数,Kinzoku,110,111,00--99: ; 
労働者の種類,RouSyu,112,112,1: 生産; 2: 管理・事務・技術; 
役職・職種番号,Syoku,113,115,101--105: 役職; 201--864: 職種; 
経験年数,Keiken,116,116,1: 1年未満; 2: 1~4年; 3: 5~9年; 4: 10~14年; 5: 15年以上; 
実労働日数,RouNissu,117,118,00--31: ; 
所定内実労働時間数,SyoteiJikan,119,121,000--999: ; 
超過実労働時間数,ChokaJikan,122,124,000--999: ; 
決まって支給する現金給与額,Genkin,125,129,00000--99999: ; 
超過労働給与額,ChokaKyuyo,130,133,0000--9999: ; 
所定内給与額,SyoteiKyuyo,134,138,00000--99999: ; 
通勤手当,Tsukin,139,141,000--999: ; 
精皆勤手当,Seikin,142,144,000--999: ; 
家族手当,Kazoku,145,147,000--999: ; 
昨年1年間の賞与期末手当等特別支給額,Tokubetsu,148,153,000000--999999: ; 
