Description,Varname,StartPosition,EndPosition,Value
調査年,Nen,1,4,2013: 西暦; 
都道府県番号,Ken,6,7,01--47: ; 
事業所一連番号,JigyoRen,8,12,10001--17409: ; 18001--18100: ; 50001--50106: ; 58001--58100: ; 
(チェックディジット),Digit,13,13,0--9: 検査数字(下1桁); 
市区町村番号,M_Shi,15,17,101~: センサスの数字; 
基本調査区番号,M_Chosaku,18,21,0001~: センサスの数字; 
事業所番号,M_JigyoBan,24,27,0001~: センサスの数字; 
産業分類番号,M_Sangyo,29,31,050--959: ; 
事業所規模番号,M_JigyoKibo,32,32,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,M_RinjiKibo,33,33,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模番号,M_KigyoKibo,34,34,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
FILLER,var1,38,38,: ; 
産業分類番号,Sangyo,39,41,050--959: ; 
事業所規模番号,JigyoKibo,42,42,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,RinjiKibo,43,43,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模番号,KigyoKibo,44,44,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
事業所,JigyoRitsu,45,48,0001~: 事業所マスターからコピー; 
常用労働者,RodoRitsu,49,50,01~: 事業所票からコピー; 
臨時労働者,RinjiRitsu,51,52,01~: 事業所票チェックで決め付け; 
本・支区分,M_Honshi,54,54,1: 単独事業所; 2: 本社; 3: 支社; 
民・公区分,M_Minko,55,55,4: 民営事業所; 5: 公営事業所; 
種類,M_Syurui,56,56,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
男,Syain_M,58,62,00000~: ; 
女,Syain_W,63,67,00000~: ; 
男,Hisyain_M,68,72,00000~: ; 
女,Hisyain_W,73,77,00000~: ; 
臨時労働者数,Rinji,78,82,00000~: ; 
大,SangyoD,83,83,C: 鉱業,採石業,砂利採取業; D: 建設業; E: 製造業; F: 電気・ガス・熱供給・水道業; G: 情報通信業; H: 運輸業,郵便業; I: 卸売業,小売業; J: 金融業,保険業; K: 不動産業,物品賃貸業; L: 学術研究,専門・技術サービス業; M: 宿泊業,飲食サービス業; N: 生活関連サービス業,娯楽業; O: 教育,学習支援業; P: 医療,福祉; Q: 複合サービス事業; R: サービス業(他に分類されないもの); 
中,SangyoC,84,85,05--95: 産業分類番号上2桁; 
小,SangyoS,86,86,1: H481のみ; 
企業規模,KigyoKiboKbn,87,88,T2: 1,000人以上; 53: 100~999人; 76: 10~99人; 88: 5~9人; 
確定・未確定,Kakutei,89,89,1: 確定; 2: 未確定; 
初任給額,Kou_Gaku_M,91,94,0000--9999: ; 
採用人員,Kou_Jin_M,95,98,0000--9999: ; 
初任給額,Kou_Gaku_W,99,102,0000--9999: ; 
採用人員,Kou_Jin_W,103,106,0000--9999: ; 
初任給額,Tan_Gaku_M,107,110,0000--9999: ; 
採用人員,Tan_Jin_M,111,114,0000--9999: ; 
初任給額,Tan_Gaku_W,115,118,0000--9999: ; 
採用人員,Tan_Jin_W,119,122,0000--9999: ; 
初任給額,Dai_Jimu_Gaku_M,123,126,0000--9999: ; 
採用人員,Dai_Jimu_Jin_M,127,130,0000--9999: ; 
初任給額,Dai_Jimu_Gaku_W,131,134,0000--9999: ; 
採用人員,Dai_Jimu_Jin_W,135,138,0000--9999: ; 
初任給額,Dai_Gijyu_Gaku_M,139,142,0000--9999: ; 
採用人員,Dai_Gijyu_Jin_M,143,146,0000--9999: ; 
初任給額,Dai_Gijyu_Gaku_W,147,150,0000--9999: ; 
採用人員,Dai_Gijyu_Jin_W,151,154,0000--9999: ; 
初任給額,In_Gaku_M,155,158,0000--9999: ; 
採用人員,In_Jimu_M,159,162,0000--9999: ; 
初任給額,In_Gaku_W,163,166,0000--9999: ; 
採用人員,In_Jin_W,167,170,0000--9999: ; 
共通事業所コード,var2,175,183,000000000--999999999: ; 
