Description,Varname,StartPosition,EndPosition,Value
調査年,var1,1,4,2008: ; 
府県ごとの括通し番号,var2,5,6,01--99: ; 
,var3,7,9,: ; 
都道府県番号,var4,10,11,01--47: ; 
事業所一連番号,var5,12,16,10001--16999: ; 17001--17100: ; 50001--50100: ; 57001--57100: ; 
チェックディジット,var6,17,17,0--9: ; 
○○枚目,var7,18,19,1--99: ; 
労働者一連番号,var8,20,21,01--99: ; 
市区町村番号,var9,22,24,101~: ; 
基本調査区番号,var10,25,30,000001~: ; 
事業所番号,var11,31,34,0001~: 特定独立行政法人の事業所は全国で一連の番号である。; 
,var12,35,35,: ; 
産業分類番号,var13,36,38,051--939: ; 
事業所規模,var14,39,39,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,var15,40,40,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模,var16,41,41,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
,var17,42,44,: ; 
,var18,45,45,: ; 
産業分類番号,var19,46,48,051--939: ; 
事業所規模,var20,49,49,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
臨時雇用者規模番号,var21,50,50,1: 0~9人; 2: 10~99人; 3: 100人以上; 
企業規模,var22,51,51,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
事業所,var23,52,55,0001--9999: ; 
常用労働者,var24,56,57,01--99: ; 
臨時労働者,var25,58,59,01--99: ; 
復元倍率,var26,60,65,000001--999999: 事業所抽出率×常用労働者抽出率(雇用形態1~4)事業所抽出率×臨時労働者抽出率(雇用形態5); 
本・支区分,var27,66,66,1: 単独事業所; 2: 本社; 3: 支社、新設事業所; 
民・公区分,var28,67,67,4: 民営事業所; 5: 公営事業所; 
種類,var29,68,68,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
,var30,69,69,: ; 
男,var31,70,74,00000--99999: ; 
女,var32,75,79,00000--99999: ; 
男,var33,80,84,00000--99999: ; 
女,var34,85,89,00000--99999: ; 
臨時労働者数,var35,90,94,00000--99999: ; 
大,var36,95,95,D: 051~059:鉱業; E: 061~089:建設業; F: 091~329:製造業; G: 331~363:電気・ガス・熱供給・水道業; H: 371~415:情報通信業; I: 421~489:運輸業; J: 491~609:卸売・小売業; K: 611~675:金融・保険業; L: 681~694:不動産業; M: 701~711,713~729:飲食店,宿泊業; N: 731~736,742,749,751,753~759:医療,福祉; O: 761~779:教育,学習支援業; P: 781~792:複合サービス事業; Q: 801~824,829,831,833~939:サービス業(その他); 
中,var37,96,97,05--93: 産業番号上2桁; 
小,var38,98,98,1: I481のみ; 
,var39,99,103,: ; 
性別,var40,104,104,1: 男; 2: 女; 
雇用形態,var41,105,105,1: 正社員・正職員のうち雇用期間の定め無し; 2: 正社員・正職員のうち雇用期間の定め有り; 3: 正社員・正職員以外のうち雇用期間の定め無し; 4: 正社員・正職員以外のうち雇用期間の定め有り; 5: 臨時労働者; 
就業形態,var42,106,106,1: 一般; 2: 短時間; 
最終学歴,var43,107,107,1: 中学卒; 2: 高校卒; 3: 高専・短大卒; 4: 大学・大学院卒; 
年齢,var44,108,109,15--99: ; 
勤続年数,var45,110,111,00--99: ; 
労働者の種類,var46,112,112,1: 生産; 2: 管理・事務・技術; 
役職・職種番号,var47,113,115,101--105: 役職; 201--864: 職種; 
経験年数,var48,116,116,1: 1年未満; 2: 1~4年; 3: 5~9年; 4: 10~14年; 5: 15年以上; 
実労働日数,var49,117,118,00--31: ; 
所定内実労働時間数,var50,119,121,000--999: ; 
超過実労働時間数,var51,122,124,000--999: ; 
決まって支給する現金給与額,var52,125,129,00000--99999: ; 
超過労働給与額,var53,130,133,0000--9999: ; 
所定内給与額,var54,134,138,00000--99999: ; 
通勤手当,var55,139,141,000--999: ; 
精皆勤手当,var56,142,144,000--999: ; 
家族手当,var57,145,147,000--999: ; 
昨年1年間の賞与期末手当等特別支給額,var58,148,153,000000--999999: ; 
