Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,3,KE7: ; 
調査年,var2,4,7,2006/2007: 西暦(年); 
調査月,var3,8,9,07: 下半期; 
調査票区分,var4,10,10,J: 事業所票; 
DLM1,var5,11,12,**: ; 
空白1,var6,13,15,: ; 
地域番号,var7,16,17,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25,29,30; 08: 県番号:26~28; 09: 県番号:31,32; 10: 県番号:33~35; 11: 県番号:36~39; 12: 県番号:40~42,44; 13: 県番号:43,45~47; 
都道府県番号,var8,18,19,01~47: ; 
事業所番号,var9,20,23,0001~: ; 
大分類,var10,24,24,D~Q: ; 
中分類,var11,25,26,05~93: ; 
DLM2,var12,27,27,*: ; 
抽出符号,var13,28,30,001~999: 抽出率逆数; 
DLM3,var14,31,31,*: ; 
事業所規模,var15,32,32,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var16,33,33,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
DLM4,var17,34,34,*: ; 
乗率用産業分類,var18,35,36,01~44: 01,02,04~29,31~38,40~44(03,30,39は除く); 
乗率用事業所規模,var19,37,37,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
乗率用性別,var20,38,38,: ; 
乗率用就業形態,var21,39,39,: ; 
DLM5,var22,40,40,*: ; 
空白2,var23,41,42,: ; 
DLM6,var24,43,43,*: ; 
乗率,var25,44,53,0~9999999999: ; 
DLM7,var26,54,56,***: ; 
イ入職者,var27,57,62,0~999999: 以下右詰0補足; 
ロ転入者等,var28,63,68,0~999999: ; 
(3)常用に切り替えられた者,var29,69,74,0~999999: ; 
イ離職者,var30,75,80,0~999999: ; 
ロ転出者等,var31,81,86,0~999999: ; 
(5)期末常用労働者,var32,87,92,0~999999: ; 
イ入職者,var33,93,98,0~999999: ; 
ロ転入者等,var34,99,104,0~999999: ; 
(3)常用に切り替えられた者,var35,105,110,0~999999: ; 
イ離職者,var36,111,116,0~999999: ; 
ロ転出者等,var37,117,122,0~999999: ; 
(5)期末常用労働者,var38,123,128,0~999999: ; 
イ入職者,var39,129,134,0~999999: ; 
