Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,3,KE6: ; 
調査年,var2,4,7,西暦: ; 
調査月,var3,8,9,01: 上半期; 07: 下半期; 
調査票区分,var4,10,10,N: 入職者票; 
DLM1,var5,11,12,**: ; 
空白1,var6,13,13,: ; 
地域9-4,var7,14,15,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25~30; 08: 県番号:31~35; 09: 県番号:36~39; 10: 県番号:40~47; 
地域9-2,var8,16,17,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25,29,30; 08: 県番号:26~28; 09: 県番号:31,32; 10: 県番号:33~35; 11: 県番号:36~39; 12: 県番号:40~42,44; 13: 県番号:43,45~47; 
都道府県番号,var9,18,19,01~47: ; 
事業所番号,var10,20,23,0001~5999: ; 
大分類,var11,24,24,D~Q: ; 
中分類,var12,25,26,05~93: ; 
DLM2,var13,27,27,*: ; 
抽出符号,var14,28,30,001~999: 抽出率逆数; 
DLM3,var15,31,31,*: ; 
事業所規模,var16,32,32,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var17,33,33,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
DLM4,var18,34,34,*: ; 
乗率用産業分類,var19,35,36,02,03,05~3032~39,41~45(04,31,40は除く): ; 
乗率用事業所規模,var20,37,37,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
乗率用性別,var21,38,38,1: 男; 2: 女; 
乗率用就業形態,var22,39,39,1: 一般労働者; 2: パートタイム労働者; 
DLM5,var23,40,40,*: ; 
空白2,var24,41,42,: ; 
DLM6,var25,43,43,*: ; 
乗率,var26,44,53,0~9999999999: ; 
DLM7,var27,54,56,***: ; 
性別,var28,57,57,1: 男; 2: 女; 
年齢チェック済,var29,58,59,01: 19歳以下; 02: 20~24歳; 03: 24~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
分類表21-2,var30,60,61,01: 年齢チェック済:01; 02: 年齢チェック済:02; 03: 年齢チェック済:03; 04: 年齢チェック済:04; 05: 年齢チェック済:05; 06: 年齢チェック済:06; 07: 年齢チェック済:07; 08: 年齢チェック済:08; 09: 年齢チェック済:09; 11: 年齢チェック済:10; 12: 年齢チェック済:11; 
学歴チェック済,var31,62,62,1: 新中・旧小; 2: 新高・旧中; 3: 専修学校(専門課程); 4: 高専・短大; 5: 新大・旧大・大学院(文科系); 6: 新大・旧大・大学院(理科系); 
分類表19,var32,63,63,1: 学歴チェック済:1; 2: 学歴チェック済:2; 3: 学歴チェック済:3; 4: 学歴チェック済:4; 5: 学歴チェック済:5,6; 
分類表20,var33,64,64,1: 新中・旧小; 2: 新高・旧中; 3: 専修学校(専門課程); 4: 高専・短大; 6: 新大・旧大・大学院(文科系); 7: 新大・旧大・大学院(理科系); 
卒業時期,var34,65,65,1: 平成18年3月新卒; 2: 平成17年3月以前卒; 
入職経路チェック済,var35,66,66,1: 安定所; 2: 民営職業紹介所; 3: 学校; 4: 前の会社; 5: 出向; 6: 出向先からの復帰; 7: 縁故; 8: 広告; 9: その他; 
分類表24,var36,67,67,1: 入職経路チェック済:1; 2: 入職経路チェック済:2; 3: 入職経路チェック済:3; 4: 入職経路チェック済:4; 5: 入職経路チェック済:5; 6: 入職経路チェック済:6; 7: 入職経路チェック済:7; 8: 入職経路チェック済:8; 9: 入職経路チェック済:9; 
就業形態,var37,68,68,1: 一般労働者; 2: パートタイム労働者; 
