Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,3,KE7: ; 
調査年,var2,4,7,西暦: ; 
調査月,var3,8,9,01: 上半期; 07: 下半期; 
調査票区分,var4,10,10,R: 離職者票; 
DLM1,var5,11,12,**: ; 
空白1,var6,13,15,: ; 
地域番号,var7,16,17,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25,29,30; 08: 県番号:26~28; 09: 県番号:31,32; 10: 県番号:33~35; 11: 県番号:36~39; 12: 県番号:40~42,44; 13: 県番号:43,45~47; 
都道府県番号,var8,18,19,01~47: ; 
事業所番号,var9,20,23,0001~5999: ; 
大分類,var10,24,24,D~Q: H8~15(1996~2003)は、日本標準産業分類(平成5年[1993年]10月改定); 
中分類,var11,25,26,05~93: H16~19(2004~2007)は、日本標準産業分類(平成14年[2002年]3月改定); 
DLM2,var12,27,27,*: ; 
抽出符号,var13,28,30,001~999: 抽出率逆数; 
DLM3,var14,31,31,*: ; 
事業所規模,var15,32,32,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var16,33,33,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
DLM4,var17,34,34,*: ; 
乗率用産業分類,var18,35,36,01~44: 01,02,04~29,31~38,40~44(03,30,39は除く); 
乗率用事業所規模,var19,37,37,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
乗率用性別,var20,38,38,1: 男; 2: 女; 
乗率用就業形態,var21,39,39,1: 一般労働者; 2: パートタイム労働者; 
DLM5,var22,40,40,*: ; 
空白2,var23,41,42,: ; 
DLM6,var24,43,43,*: ; 
乗率,var25,44,53,0~9999999999: ; 
DLM7,var26,54,56,***: ; 
離職者番号,var27,57,58,01~10: ; 
性別,var28,59,59,1: 男; 2: 女; 
年齢チェック済,var29,60,61,01: 19歳以下; 02: 20~24歳; 03: 24~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
分類表21-2,var30,62,63,01: 年齢チェック済:01; 02: 年齢チェック済:02; 03: 年齢チェック済:03; 04: 年齢チェック済:04; 05: 年齢チェック済:05; 06: 年齢チェック済:06; 07: 年齢チェック済:07; 08: 年齢チェック済:08; 09: 年齢チェック済:09; 11: 年齢チェック済:10; 12: 年齢チェック済:11; 
学歴,var31,64,64,1: 新中・旧小; 2: 新高・旧中; 3: 専修学校(専門課程); 4: 高専・短大; 5: 新大・旧大・大学院(文科系); 6: 新大・旧大・大学院(理科系); 
卒業時期,var32,65,65,1: 平成19年3月新卒; 2: 平成18年3月以前卒; 
就業形態,var33,66,66,1: 一般労働者; 2: パートタイム労働者; 
仕事の内容,var34,67,67,1: 専門的・技術的職業従事者; 2: 管理的職業従事者; 3: 事務従事者; 4: 販売従事者; 5: サービス職業従事者; 6: 保安職業従事者; 7: 運輸・通信従事者; 8: 生産工程・労務作業者; 9: その他の職業従事者; 
勤続期間,var35,68,68,1: 6ヶ月未満; 2: 6ヶ月~1年未満; 3: 1年~2年未満; 4: 2年~5年未満; 5: 5年~10年未満; 6: 10年以上; V: 不詳; 
離職理由チェック済,var36,69,70,01: 契約期間の満了; 02: 経営上の都合; 03: 出向; 04: 出向元への復帰; 05: 定年; 06: 本人の責による; 07: 結婚; 08: 出産・育児; 09: 介護; 10: 死亡・傷病; 11: その他の個人的理由; 
分類表29,var37,71,72,01: 離職理由チェック済:01; 03: 離職理由チェック済:02; 04: 離職理由チェック済:03; 05: 離職理由チェック済:04; 06: 離職理由チェック済:05; 07: 離職理由チェック済:06; 08: 離職理由チェック済:11; 09: 離職理由チェック済:07; 10: 離職理由チェック済:08; 11: 離職理由チェック済:09; 12: 離職理由チェック済:10; 
分類表1,var38,73,74,02~45: 02,03,05~30,32~39,41~45; 
製造業分類,var39,75,76,46~48,: FC,FM,FN以外; 
DLM8,var40,77,79,***: ; 
空白3,var41,80,80,: ; 
