Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,: ; 
調査年,var2,3,6,yyyy: 西暦; 
調査月,var3,7,8,01: 上期; 07: 下期; 
スペース1,var4,9,10,: ; 
調査票区分,var5,11,11,R: 離職者票; 
スペース2,var6,12,13,: ; 
乗率,var7,14,23,乗率: 整数部7桁、少数部3桁; 
都道府県番号,var8,31,32,01~47: 都道府県; 
事業所番号,var9,33,36,0001~5999: A名簿0001~B名簿5001~; 
産業中分類,var10,37,38,05~95: 産業中分類05~95; 
抽出番号,var11,39,41,001~999: 抽出番号; 
事業所規模,var12,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var13,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
性別,var14,44,44,1: 男; 2: 女; 
年齢,var15,45,46,01: 19歳以下; 02: 20~24歳; 03: 25~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
最終学歴,var16,47,47,1: 中学卒; 2: 高校卒; 3: 専修学校卒; 4: 高専・短大卒; 5: 大学・大学院卒; 
卒業年度,var17,48,48,1: 本年3月新卒; 2: 前年3月以前卒; 
就業形態,var18,49,49,1: 一般労働者; 2: パートタイム労働者; 
仕事の内容,var19,50,50,1: 専門的・技術的職業; 2: 管理的職業; 3: 事務; 4: 販売; 5: サービス職業; 6: 保安職業; 7: 運輸・通信; 8: 生産工程・労務; 9: その他; 
勤続期間,var20,51,51,1: 6ヶ月未満; 2: 6ヶ月~1年未満; 3: 1~2年未満; 4: 2~5年未満; 5: 5~10年未満; 6: 10年以上; V: 不詳; 
離職理由,var21,52,53,01: 契約期間の満了; 02: 経営上の都合; 03: 出向; 04: 出向元への復帰; 05: 定年; 06: 本人の責による; 07: 結婚; 08: 出産・育児; 09: 介護; 10: 死亡・傷病; 11: その他の個人的理由; 
枚目,var22,54,55,1~99: 通し番号; 
番号,var23,56,57,V: 労働者番号; 
