Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,: ブランク; 
調査年,var2,3,6,yyyy: 西暦; 
調査月,var3,7,8,01: 上期; 07: 下期; 
スペース1,var4,9,10,: ブランク; 
調査票区分,var5,11,11,J: 事業所票; 
スペース2,var6,12,13,: ブランク; 
乗率,var7,14,23,0~9999999999: 整数部3桁、小数部7桁; 
都道府県番号,var8,31,32,01~47: 都道府県; 
事業所番号,var9,33,36,0001~5999: A名簿0001~、B名簿5001~; 
産業中分類,var10,37,38,05~95: 産業中分類05~95; 
抽出番号,var11,39,41,001~999: 抽出番号; 
事業所規模,var12,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var13,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
イ入職者,var14,44,49,0~999999: 0~999999人; 
ロ転入者等,var15,50,55,0~999999: 0~999999人; 
(3)常用に切り替えられた者,var16,56,61,0~999999: 0~999999人; 
イ離職者,var17,62,67,0~999999: 0~999999人; 
ロ転出者等,var18,68,73,0~999999: 0~999999人; 
(5)期末常用労働者,var19,74,79,0~999999: 0~999999人; 
イ入職者,var20,80,85,0~999999: 0~999999人; 
ロ転入者等,var21,86,91,0~999999: 0~999999人; 
(3)常用に切り替えられた者,var22,92,97,0~999999: 0~999999人; 
イ離職者,var23,98,103,0~999999: 0~999999人; 
ロ転出者等,var24,104,109,0~999999: 0~999999人; 
(5)期末常用労働者,var25,110,115,0~999999: 0~999999人; 
イ入職者,var26,116,121,0~999999: 0~999999人; 
ロ転入者等,var27,122,127,0~999999: 0~999999人; 
(3)常用に切り替えられた者,var28,128,133,0~999999: 0~999999人; 
イ離職者,var29,134,139,0~999999: 0~999999人; 
ロ転出者等,var30,140,145,0~999999: 0~999999人; 
(5)期末常用労働者,var31,146,151,0~999999: 0~999999人; 
イ入職者,var32,152,157,0~999999: 0~999999人; 
ロ転入者等,var33,158,163,0~999999: 0~999999人; 
(3)常用に切り替えられた者,var34,164,169,0~999999: 0~999999人; 
イ離職者,var35,170,175,0~999999: 0~999999人; 
ロ転出者等,var36,176,181,0~999999: 0~999999人; 
(5)期末常用労働者,var37,182,187,0~999999: 0~999999人; 
イ入職者,var38,188,193,0~999999: 0~999999人; 
ロ転入者等,var39,194,199,0~999999: 0~999999人; 
イ離職者,var40,200,205,0~999999: 0~999999人; 
ロ転出者等,var41,206,211,0~999999: 0~999999人; 
(5)期末常用労働者,var42,212,217,0~999999: 0~999999人; 
イ入職者,var43,218,223,0~999999: 0~999999人; 
ロ転入者等,var44,224,229,0~999999: 0~999999人; 
イ離職者,var45,230,235,0~999999: 0~999999人; 
ロ転出者等,var46,236,241,0~999999: 0~999999人; 
(5)期末常用労働者,var47,242,247,0~999999: 0~999999人; 
イ入職者,var48,248,253,0~999999: 0~999999人; 
ロ転入者等,var49,254,259,0~999999: 0~999999人; 
イ離職者,var50,260,265,0~999999: 0~999999人; 
ロ転出者等,var51,266,271,0~999999: 0~999999人; 
(5)期末常用労働者,var52,272,277,0~999999: 0~999999人; 
(2)増加常用労働者イ入職者,var53,278,283,0~999999: 0~999999人; 
(4)減少常用労働者イ離職者,var54,284,289,0~999999: 0~999999人; 
(5)期末常用労働者,var55,290,295,0~999999: 0~999999人; 
17うち、4~6(10~12)月離職者,var56,296,301,0~999999: 0~999999人; 
18うち、4~6(10~12)月出向者,var57,302,307,0~999999: 0~999999人; 
19歳以下,var58,308,313,0~999999: 0~999999人; 
20~24歳,var59,314,319,0~999999: 0~999999人; 
25~29歳,var60,320,325,0~999999: 0~999999人; 
30~34歳,var61,326,331,0~999999: 0~999999人; 
35~39歳,var62,332,337,0~999999: 0~999999人; 
40~44歳,var63,338,343,0~999999: 0~999999人; 
45~49歳,var64,344,349,0~999999: 0~999999人; 
50~54歳,var65,350,355,0~999999: 0~999999人; 
55~59歳,var66,356,361,0~999999: 0~999999人; 
60~64歳,var67,362,367,0~999999: 0~999999人; 
65歳以上,var68,368,373,0~999999: 0~999999人; 
19歳以下,var69,374,379,0~999999: 0~999999人; 
20~24歳,var70,380,385,0~999999: 0~999999人; 
25~29歳,var71,386,391,0~999999: 0~999999人; 
30~34歳,var72,392,397,0~999999: 0~999999人; 
35~39歳,var73,398,403,0~999999: 0~999999人; 
40~44歳,var74,404,409,0~999999: 0~999999人; 
45~49歳,var75,410,415,0~999999: 0~999999人; 
50~54歳,var76,416,421,0~999999: 0~999999人; 
55~59歳,var77,422,427,0~999999: 0~999999人; 
60~64歳,var78,428,433,0~999999: 0~999999人; 
65歳以上,var79,434,439,0~999999: 0~999999人; 
19歳以下,var80,440,445,0~999999: 0~999999人; 
20~24歳,var81,446,451,0~999999: 0~999999人; 
25~29歳,var82,452,457,0~999999: 0~999999人; 
30~34歳,var83,458,463,0~999999: 0~999999人; 
35~39歳,var84,464,469,0~999999: 0~999999人; 
40~44歳,var85,470,475,0~999999: 0~999999人; 
45~49歳,var86,476,481,0~999999: 0~999999人; 
50~54歳,var87,482,487,0~999999: 0~999999人; 
55~59歳,var88,488,493,0~999999: 0~999999人; 
60~64歳,var89,494,499,0~999999: 0~999999人; 
65歳以上,var90,500,505,0~999999: 0~999999人; 
19歳以下,var91,506,511,0~999999: 0~999999人; 
20~24歳,var92,512,517,0~999999: 0~999999人; 
25~29歳,var93,518,523,0~999999: 0~999999人; 
30~34歳,var94,524,529,0~999999: 0~999999人; 
35~39歳,var95,530,535,0~999999: 0~999999人; 
40~44歳,var96,536,541,0~999999: 0~999999人; 
45~49歳,var97,542,547,0~999999: 0~999999人; 
50~54歳,var98,548,553,0~999999: 0~999999人; 
55~59歳,var99,554,559,0~999999: 0~999999人; 
60~64歳,var100,560,565,0~999999: 0~999999人; 
65歳以上,var101,566,571,0~999999: 0~999999人; 
管理的職業従事者,var102,572,577,0~999999: 0~999999人; 
専門的・技術的職業従事者,var103,578,583,0~999999: 0~999999人; 
事務従事者,var104,584,589,0~999999: 0~999999人; 
販売従事者,var105,590,595,0~999999: 0~999999人; 
サービス職業従事者,var106,596,601,0~999999: 0~999999人; 
保安職業従事者,var107,602,607,0~999999: 0~999999人; 
生産工程従事者,var108,608,613,0~999999: 0~999999人; 
輸送・機械運転従事者,var109,614,619,0~999999: 0~999999人; 
建設・採掘従事者,var110,620,625,0~999999: 0~999999人; 
運搬・清掃・包装等従事者,var111,626,631,0~999999: 0~999999人; 
その他の職業従事者,var112,632,637,0~999999: 0~999999人; 
管理的職業従事者,var113,638,643,0~999999: 0~999999人; 
専門的・技術的職業従事者,var114,644,649,0~999999: 0~999999人; 
事務従事者,var115,650,655,0~999999: 0~999999人; 
販売従事者,var116,656,661,0~999999: 0~999999人; 
サービス職業従事者,var117,662,667,0~999999: 0~999999人; 
保安職業従事者,var118,668,673,0~999999: 0~999999人; 
生産工程従事者,var119,674,679,0~999999: 0~999999人; 
輸送・機械運転従事者,var120,680,685,0~999999: 0~999999人; 
建設・採掘従事者,var121,686,691,0~999999: 0~999999人; 
運搬・清掃・包装等従事者,var122,692,697,0~999999: 0~999999人; 
その他の職業従事者,var123,698,703,0~999999: 0~999999人; 
管理的職業従事者,var124,704,709,0~999999: 0~999999人; 
専門的・技術的職業従事者,var125,710,715,0~999999: 0~999999人; 
事務従事者,var126,716,721,0~999999: 0~999999人; 
販売従事者,var127,722,727,0~999999: 0~999999人; 
サービス職業従事者,var128,728,733,0~999999: 0~999999人; 
保安職業従事者,var129,734,739,0~999999: 0~999999人; 
生産工程従事者,var130,740,745,0~999999: 0~999999人; 
輸送・機械運転従事者,var131,746,751,0~999999: 0~999999人; 
建設・採掘従事者,var132,752,757,0~999999: 0~999999人; 
運搬・清掃・包装等従事者,var133,758,763,0~999999: 0~999999人; 
その他の職業従事者,var134,764,769,0~999999: 0~999999人; 
管理的職業従事者,var135,770,775,0~999999: 0~999999人; 
専門的・技術的職業従事者,var136,776,781,0~999999: 0~999999人; 
事務従事者,var137,782,787,0~999999: 0~999999人; 
販売従事者,var138,788,793,0~999999: 0~999999人; 
サービス職業従事者,var139,794,799,0~999999: 0~999999人; 
保安職業従事者,var140,800,805,0~999999: 0~999999人; 
生産工程従事者,var141,806,811,0~999999: 0~999999人; 
輸送・機械運転従事者,var142,812,817,0~999999: 0~999999人; 
建設・採掘従事者,var143,818,823,0~999999: 0~999999人; 
運搬・清掃・包装等従事者,var144,824,829,0~999999: 0~999999人; 
その他の職業従事者,var145,830,835,0~999999: 0~999999人; 
調査入職者数,var146,836,841,0~999999: 0~999999人; 
調査離職者数,var147,842,847,0~999999: 0~999999人; 
調査入職者数用抽出率,var148,848,849,1~99: 調査入職者数算出用抽出率; 
