Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,: ブランク; 
調査年,var2,3,6,yyyy: 西暦; 
調査月,var3,7,8,01: 上期; 07: 下期; 
スペース1,var4,9,10,: ブランク; 
調査票区分,var5,11,11,J: 事業所票; 
スペース2,var6,12,13,: ブランク; 
乗率,var7,14,23,0000000000~9999999999: 整数部3桁、小数部7桁; 
都道府県番号,var8,30,31,01~47: 都道府県(別紙1); 
事業所番号,var9,32,35,0001~8999: 事業所番号; 
産業中分類,var10,36,37,05~95: 産業中分類05~95(別紙2); 
抽出番号,var11,38,40,001~999: 抽出番号; 
事業所規模,var12,41,41,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var13,42,42,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
層番号,var14,43,43,1~5: 層番号; 
イ入職者,var15,44,49,000000~999999: 0~999999人; 
ロ転入者等,var16,50,55,000000~999999: 0~999999人; 
(3)「定めあり」から「定めなし」に切り替えられた者,var17,56,61,000000~999999: 0~999999人; 
イ離職者,var18,62,67,000000~999999: 0~999999人; 
ロ転出者等,var19,68,73,000000~999999: 0~999999人; 
(5)期末常用労働者,var20,74,79,000000~999999: 0~999999人; 
イ入職者,var21,80,85,000000~999999: 0~999999人; 
ロ転入者等,var22,86,91,000000~999999: 0~999999人; 
(3)「定めあり」から「定めなし」に切り替えられた者,var23,92,97,000000~999999: 0~999999人; 
イ離職者,var24,98,103,000000~999999: 0~999999人; 
ロ転出者等,var25,104,109,000000~999999: 0~999999人; 
(5)期末常用労働者,var26,110,115,000000~999999: 0~999999人; 
イ入職者,var27,116,121,000000~999999: 0~999999人; 
ロ転入者等,var28,122,127,000000~999999: 0~999999人; 
(3)「定めあり」から「定めなし」に切り替えられた者,var29,128,133,000000~999999: 0~999999人; 
イ離職者,var30,134,139,000000~999999: 0~999999人; 
ロ転出者等,var31,140,145,000000~999999: 0~999999人; 
(5)期末常用労働者,var32,146,151,000000~999999: 0~999999人; 
イ入職者,var33,152,157,000000~999999: 0~999999人; 
ロ転入者等,var34,158,163,000000~999999: 0~999999人; 
(3)「定めあり」から「定めなし」に切り替えられた者,var35,164,169,000000~999999: 0~999999人; 
イ離職者,var36,170,175,000000~999999: 0~999999人; 
ロ転出者等,var37,176,181,000000~999999: 0~999999人; 
(5)期末常用労働者,var38,182,187,000000~999999: 0~999999人; 
イ入職者,var39,188,193,000000~999999: 0~999999人; 
ロ転入者等,var40,194,199,000000~999999: 0~999999人; 
イ離職者,var41,200,205,000000~999999: 0~999999人; 
ロ転出者等,var42,206,211,000000~999999: 0~999999人; 
(5)期末常用労働者,var43,212,217,000000~999999: 0~999999人; 
イ入職者,var44,218,223,000000~999999: 0~999999人; 
ロ転入者等,var45,224,229,000000~999999: 0~999999人; 
イ離職者,var46,230,235,000000~999999: 0~999999人; 
ロ転出者等,var47,236,241,000000~999999: 0~999999人; 
(5)期末常用労働者,var48,242,247,000000~999999: 0~999999人; 
イ入職者,var49,248,253,000000~999999: 0~999999人; 
ロ転入者等,var50,254,259,000000~999999: 0~999999人; 
イ離職者,var51,260,265,000000~999999: 0~999999人; 
ロ転出者等,var52,266,271,000000~999999: 0~999999人; 
(5)期末常用労働者,var53,272,277,000000~999999: 0~999999人; 
(2)増加常用労働者イ入職者,var54,278,283,000000~999999: 0~999999人; 
(4)減少常用労働者イ離職者,var55,284,289,000000~999999: 0~999999人; 
(5)期末常用労働者,var56,290,295,000000~999999: 0~999999人; 
17うち、4~6(10~12)月離職者,var57,296,301,000000~999999: 0~999999人; 
18うち、4~6(10~12)月出向者,var58,302,307,000000~999999: 0~999999人; 
19歳以下,var59,308,313,000000~999999: 0~999999人; 
20~24歳,var60,314,319,000000~999999: 0~999999人; 
25~29歳,var61,320,325,000000~999999: 0~999999人; 
30~34歳,var62,326,331,000000~999999: 0~999999人; 
35~39歳,var63,332,337,000000~999999: 0~999999人; 
40~44歳,var64,338,343,000000~999999: 0~999999人; 
45~49歳,var65,344,349,000000~999999: 0~999999人; 
50~54歳,var66,350,355,000000~999999: 0~999999人; 
55~59歳,var67,356,361,000000~999999: 0~999999人; 
60~64歳,var68,362,367,000000~999999: 0~999999人; 
65歳以上,var69,368,373,000000~999999: 0~999999人; 
19歳以下,var70,374,379,000000~999999: 0~999999人; 
20~24歳,var71,380,385,000000~999999: 0~999999人; 
25~29歳,var72,386,391,000000~999999: 0~999999人; 
30~34歳,var73,392,397,000000~999999: 0~999999人; 
35~39歳,var74,398,403,000000~999999: 0~999999人; 
40~44歳,var75,404,409,000000~999999: 0~999999人; 
45~49歳,var76,410,415,000000~999999: 0~999999人; 
50~54歳,var77,416,421,000000~999999: 0~999999人; 
55~59歳,var78,422,427,000000~999999: 0~999999人; 
60~64歳,var79,428,433,000000~999999: 0~999999人; 
65歳以上,var80,434,439,000000~999999: 0~999999人; 
19歳以下,var81,440,445,000000~999999: 0~999999人; 
20~24歳,var82,446,451,000000~999999: 0~999999人; 
25~29歳,var83,452,457,000000~999999: 0~999999人; 
30~34歳,var84,458,463,000000~999999: 0~999999人; 
35~39歳,var85,464,469,000000~999999: 0~999999人; 
40~44歳,var86,470,475,000000~999999: 0~999999人; 
45~49歳,var87,476,481,000000~999999: 0~999999人; 
50~54歳,var88,482,487,000000~999999: 0~999999人; 
55~59歳,var89,488,493,000000~999999: 0~999999人; 
60~64歳,var90,494,499,000000~999999: 0~999999人; 
65歳以上,var91,500,505,000000~999999: 0~999999人; 
19歳以下,var92,506,511,000000~999999: 0~999999人; 
20~24歳,var93,512,517,000000~999999: 0~999999人; 
25~29歳,var94,518,523,000000~999999: 0~999999人; 
30~34歳,var95,524,529,000000~999999: 0~999999人; 
35~39歳,var96,530,535,000000~999999: 0~999999人; 
40~44歳,var97,536,541,000000~999999: 0~999999人; 
45~49歳,var98,542,547,000000~999999: 0~999999人; 
50~54歳,var99,548,553,000000~999999: 0~999999人; 
55~59歳,var100,554,559,000000~999999: 0~999999人; 
60~64歳,var101,560,565,000000~999999: 0~999999人; 
65歳以上,var102,566,571,000000~999999: 0~999999人; 
管理的職業従事者,var103,572,577,000000~999999: 0~999999人; 
専門的・技術的職業従事者,var104,578,583,000000~999999: 0~999999人; 
事務従事者,var105,584,589,000000~999999: 0~999999人; 
販売従事者,var106,590,595,000000~999999: 0~999999人; 
サービス職業従事者,var107,596,601,000000~999999: 0~999999人; 
保安職業従事者,var108,602,607,000000~999999: 0~999999人; 
生産工程従事者,var109,608,613,000000~999999: 0~999999人; 
輸送・機械運転従事者,var110,614,619,000000~999999: 0~999999人; 
建設・採掘従事者,var111,620,625,000000~999999: 0~999999人; 
運搬・清掃・包装等従事者,var112,626,631,000000~999999: 0~999999人; 
その他の職業従事者,var113,632,637,000000~999999: 0~999999人; 
管理的職業従事者,var114,638,643,000000~999999: 0~999999人; 
専門的・技術的職業従事者,var115,644,649,000000~999999: 0~999999人; 
事務従事者,var116,650,655,000000~999999: 0~999999人; 
販売従事者,var117,656,661,000000~999999: 0~999999人; 
サービス職業従事者,var118,662,667,000000~999999: 0~999999人; 
保安職業従事者,var119,668,673,000000~999999: 0~999999人; 
生産工程従事者,var120,674,679,000000~999999: 0~999999人; 
輸送・機械運転従事者,var121,680,685,000000~999999: 0~999999人; 
建設・採掘従事者,var122,686,691,000000~999999: 0~999999人; 
運搬・清掃・包装等従事者,var123,692,697,000000~999999: 0~999999人; 
その他の職業従事者,var124,698,703,000000~999999: 0~999999人; 
管理的職業従事者,var125,704,709,000000~999999: 0~999999人; 
専門的・技術的職業従事者,var126,710,715,000000~999999: 0~999999人; 
事務従事者,var127,716,721,000000~999999: 0~999999人; 
販売従事者,var128,722,727,000000~999999: 0~999999人; 
サービス職業従事者,var129,728,733,000000~999999: 0~999999人; 
保安職業従事者,var130,734,739,000000~999999: 0~999999人; 
生産工程従事者,var131,740,745,000000~999999: 0~999999人; 
輸送・機械運転従事者,var132,746,751,000000~999999: 0~999999人; 
建設・採掘従事者,var133,752,757,000000~999999: 0~999999人; 
運搬・清掃・包装等従事者,var134,758,763,000000~999999: 0~999999人; 
その他の職業従事者,var135,764,769,000000~999999: 0~999999人; 
管理的職業従事者,var136,770,775,000000~999999: 0~999999人; 
専門的・技術的職業従事者,var137,776,781,000000~999999: 0~999999人; 
事務従事者,var138,782,787,000000~999999: 0~999999人; 
販売従事者,var139,788,793,000000~999999: 0~999999人; 
サービス職業従事者,var140,794,799,000000~999999: 0~999999人; 
保安職業従事者,var141,800,805,000000~999999: 0~999999人; 
生産工程従事者,var142,806,811,000000~999999: 0~999999人; 
