Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,3,KE7: ; 
調査年,var2,4,7,2007: ; 
調査月,var3,8,9,01: 上半期; 07: 下半期; 
調査票区分,var4,10,10,N: 入職者票; 
DLM1,var5,11,12,**: ; 
空白1,var6,13,13,: ; 
地域9-4,var7,14,15,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25~30; 08: 県番号:31~35; 09: 県番号:36~39; 10: 県番号:40~47; 
地域9-2,var8,16,17,01: 県番号:01; 02: 県番号:02~07; 03: 県番号:08~10,19,20; 04: 県番号:11~14; 05: 県番号:15~18; 06: 県番号:21~24; 07: 県番号:25,29,30; 08: 県番号:26~28; 09: 県番号:31,32; 10: 県番号:33~35; 11: 県番号:36~39; 12: 県番号:40~42,44; 13: 県番号:43,45~47; 
都道府県番号,var9,18,19,01~47: ; 
事業所番号,var10,20,23,0001~5999: ; 
大分類,var11,24,24,D~Q: ; 
中分類,var12,25,26,05~93: ; 
DLM2,var13,27,27,*: ; 
抽出符号,var14,28,30,001~999: 抽出率逆数; 
DLM3,var15,31,31,*: ; 
事業所規模,var16,32,32,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var17,33,33,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
DLM4,var18,34,34,*: ; 
乗率用産業分類,var19,35,36,01~44: 01,02,04~29,31~38,40~44(03,30,39は除く); 
乗率用事業所規模,var20,37,37,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
乗率用性別,var21,38,38,1: 男; 2: 女; 
乗率用就業形態,var22,39,39,1: 一般労働者; 2: パートタイム労働者; 
DLM5,var23,40,40,*: ; 
空白2,var24,41,42,: ; 
DLM6,var25,43,43,*: ; 
乗率,var26,44,53,0~9999999999: ; 
DLM7,var27,54,56,***: ; 
性別,var28,57,57,1: 男; 2: 女; 
年齢チェック済,var29,58,59,01: 19歳以下; 02: 20~24歳; 03: 24~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
分類表21-2,var30,60,61,01: 年齢チェック済:01; 02: 年齢チェック済:02; 03: 年齢チェック済:03; 04: 年齢チェック済:04; 05: 年齢チェック済:05; 06: 年齢チェック済:06; 07: 年齢チェック済:07; 08: 年齢チェック済:08; 09: 年齢チェック済:09; 11: 年齢チェック済:10; 12: 年齢チェック済:11; 
学歴チェック済,var31,62,62,1: 新中・旧小; 2: 新高・旧中; 3: 専修学校(専門課程); 4: 高専・短大; 5: 新大・旧大・大学院(文科系); 6: 新大・旧大・大学院(理科系); 
分類表19,var32,63,63,1: 学歴チェック済:1; 2: 学歴チェック済:2; 3: 学歴チェック済:3; 4: 学歴チェック済:4; 5: 学歴チェック済:5,6; 
分類表20,var33,64,64,1: 新中・旧小; 2: 新高・旧中; 3: 専修学校(専門課程); 4: 高専・短大; 6: 新大・旧大・大学院(文科系); 7: 新大・旧大・大学院(理科系); 
卒業時期,var34,65,65,1: 平成19年3月新卒; 2: 平成18年3月以前卒; 
入職経路チェック済,var35,66,67,1: 安定所; 2: ハローワークインターネットサービスやしごと情報ネット; 3: 民営職業紹介所; 4: 学校; 5: 前の会社; 6: 出向; 7: 出向先からの復帰; 8: 縁故; 9: 広告; 10: その他; 
分類表24,var36,68,69,01: 入職経路チェック済:01; 02: 入職経路チェック済:02; 03: 入職経路チェック済:03; 04: 入職経路チェック済:04; 05: 入職経路チェック済:05; 06: 入職経路チェック済:06; 07: 入職経路チェック済:07; 08: 入職経路チェック済:08; 09: 入職経路チェック済:09; 10: 入職経路チェック済:10; 
就業形態,var37,70,70,1: 一般労働者; 2: パートタイム労働者; 
仕事の内容チェック済,var38,71,71,1: 専門的・技術的職業従事者; 2: 管理的職業従事者; 3: 事務従事者; 4: 販売従事者; 5: サービス職業従事者; 6: 保安職業従事者; 7: 運輸・通信従事者; 8: 生産工程・労務作業者; 9: その他の職業従事者; 
分類表6-2,var39,72,72,1: 仕事の内容チェック済:1~4; 2: 仕事の内容チェック済:7,8; 3: 仕事の内容チェック済:5,6,9; 
就業の経験チェック済,var40,73,73,1: ある(入職前1年以内); 2: ある(入職前1年以上2年未満); 3: ない(入職前2年間); 
分類表13,var41,74,74,2: 就業の経験:2、卒業年度:1; 3: 就業の経験:2、卒業年度:2; 4: 就業の経験:1; 
分類表13-2,var42,75,76,03: 就業の経験:2、卒業年度:1; 04: 就業の経験:3、卒業年度:1; 06: 就業の経験:2、卒業年度:2; 07: 就業の経験:3、卒業年度:2; 09: 就業の経験:1、卒業年度:1; 10: 就業の経験:1、卒業年度:2; 
分類表14,var43,77,77,3: 就業の経験:2、卒業年度:1、学歴:1; 4: 就業の経験:2、卒業年度:1、学歴:2; 5: 就業の経験:2、卒業年度:1、学歴:3; 6: 就業の経験:2、卒業年度:1、学歴:4; 7: 就業の経験:2、卒業年度:1、学歴:5,6; 8: 就業の経験:2、卒業年度:2; 9: 就業の経験:1; 
分類表18-2,var44,78,79,02: 就業の経験:1、離職期間:1; 03: 就業の経験:1、離職期間:2; 04: 就業の経験:1、離職期間:3; 05: 就業の経験:1、離職期間:4; 06: 就業の経験:1、離職期間:5; 07: 就業の経験:1、離職期間:V; 09: 就業の経験:2、離職期間:6; 10: 就業の経験:2、離職期間:7; 11: 就業の経験:2、離職期間:V; 
地域9-5,var45,80,81,01~11: 01~10は地域9-4と同じ。11は不詳VV。; 
地域9-3,var46,82,83,01~14: 01~13は地域9-2と同じ。14は不詳VV。; 
都道府県,var47,84,85,01~47,49: ; 
在籍の有無,var48,86,86,1: 勤めている; 2: 勤めていない; 
