Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,: ブランク; 
調査年,var2,3,6,yyyy: 西暦; 
調査月,var3,7,8,01: 上期; 07: 下期; 
スペース1,var4,9,10,: ブランク; 
調査票区分,var5,11,11,N: 入職者票; 
スペース2,var6,12,13,: ブランク; 
乗率,var7,14,23,0000000000~9999999999: 整数部7桁、小数部3桁; 
都道府県番号,var8,31,32,01~47: 都道府県(別紙1); 
事業所番号,var9,33,36,0001~13613001~32835001~52248001~8223: 事業所番号; 
産業中分類,var10,37,38,05~95: 産業中分類05~95(別紙2); 
抽出番号,var11,39,41,001~999: 抽出番号; 
事業所規模,var12,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var13,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
性別,var14,44,44,1: 男; 2: 女; 
年齢,var15,45,46,15~99: 年齢; 
最終学歴,var16,47,47,1: 中学卒; 2: 高校卒; 3: 専修学校卒; 4: 高専・短大卒; 5: 大学(文科系)卒; 6: 大学(理科系)卒; 7: 大学院(文科系)卒; 8: 大学院(理科系)卒; 
卒業年度,var17,48,48,1: 新規学卒者(平成28年1月以降卒業); 2: 新規学卒者以外(平成27年12月以前卒業); 
1,var18,49,49,1: 求人企業が直接運営するサイト; 
2,var19,50,50,2: 民間等の求人広告会社のサイト; 
3,var20,51,51,3: しごと情報ネット; 
4,var21,52,52,4: ハローワークインターネットサービス; 
5,var22,53,53,5: その他のサイト; 
6,var23,54,54,6: 面接日の調整や企業に対する質問等に利用; 
7,var24,55,55,7: インターネットは利用しなかった; 
入職経路,var25,56,57,01: 安定所; 02: ハローワークインターネットサービスやしごと情報ネット; 03: 民営職業紹介所; 04: 学校; 05: 前の会社; 06: 出向; 07: 出向先からの復帰; 08: 縁故; 09: 広告; 10: その他; 
就業形態,var26,58,58,1: 一般労働者(雇用期間の定めなし); 2: 一般労働者(雇用期間の定めあり); 3: パートタイム労働者(雇用期間の定めなし); 4: パートタイム労働者(雇用期間の定めあり); 
仕事の内容,var27,59,60,01: 管理的職業従事者; 02: 専門的・技術的職業従事者; 03: 事務従事者; 04: 販売従事者; 05: サービス職業従事者; 06: 保安職業従事者; 07: 生産工程従事者; 08: 輸送・機械運転従事者; 09: 建設・採掘従事者; 10: 運搬・清掃・包装等従事者; 11: その他の職業従事者; 
就業の経験,var28,61,61,1: ある(入職前1年以内); 2: ある(入職前1年以上2年未満); 3: ない(入職前2年間); 
入職前の住所の県番号,var29,62,63,01~47: 都道府県(別紙1); 49: 外国等; 
在籍の有無,var30,64,64,1: 勤めている; 2: 勤めていない; 
前職の産業,var31,65,66,01~18: 産業分類(別紙3); VV: 不詳; 
前職の仕事の内容,var32,67,68,01: 管理的職業従事者; 02: 専門的・技術的職業従事者; 03: 事務従事者; 04: 販売従事者; 05: サービス職業従事者; 06: 保安職業従事者; 07: 生産工程従事者; 08: 輸送・機械運転従事者; 09: 建設・採掘従事者; 10: 運搬・清掃・包装等従事者; 11: その他の職業従事者; VV: 不詳; 
前職の従業上の地位,var33,69,69,1: 雇用者(一般労働者)(雇用期間の定めなし); 2: 雇用者(一般労働者)(雇用期間の定めあり); 3: 雇用者(パートタイム労働者)(雇用期間の定めなし); 4: 雇用者(パートタイム労働者)(雇用期間の定めあり); 5: 自営業主・家族従業者; V: 不詳; 
離職期間,var34,70,70,1: 15日未満; 2: 15日~1ヶ月未満; 3: 1ヶ月~3ヶ月未満; 4: 3ヶ月~6ヶ月未満; 5: 6ヶ月~1年未満; 6: 1年~1年6ヶ月未満; 7: 1年6ヶ月~2年未満; V: 不詳; 
前職の従業員数,var35,71,71,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 4人以下; 7: 官公営; V: 不詳; 
前の勤務先を辞めた理由,var36,72,73,01: 仕事の内容が不満; 02: 能力・個性・資格を生かせない; 03: 職場の人間関係; 04: 会社の将来が不安; 05: 収入が少ない; 06: 労働条件が悪い; 07: 結婚; 08: 出産・育児; 09: 介護・看護; 10: 定年・契約期間の満了; 11: 会社の都合; 12: その他の理由(出向等含む); VV: 不詳; 
現在の勤務先を選んだ理由,var37,74,75,13: 仕事の内容に興味; 14: 能力・個性・資格を生かせる; 15: 会社の将来に期待; 16: 収入が多い; 17: 労働条件が良い; 18: 通勤が便利; 19: とにかく仕事に就きたかった; 20: その他の理由(出向等を含む); VV: 不詳; 
賃金変動,var38,76,76,1: 増加3割以上; 2: 増加1割以上3割未満; 3: 増加1割未満; 4: 変わらない; 5: 減少1割未満; 6: 減少1割以上3割未満; 7: 減少3割以上減少; V: 不詳; 
労働者番号,var39,77,78,01~50: 労働者番号; 
年齢コード,var40,79,80,01: 19歳以下; 02: 20~24歳; 03: 25~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
最終学歴不明フラグ,var41,81,81,1: 最終学歴不明; 
